일,롱패딩: (대한민국),원피스: (대한민국),여성롱패딩: (대한민국),남자롱패딩: (대한민국),잠옷: (대한민국),롱패딩: (대한민국),여자롱패딩: (대한민국),여성숏패딩: (대한민국),여성패딩: (대한민국),반팔티: (대한민국),롱패딩: (대한민국),숏패딩: (대한민국),트위드자켓: (대한민국),트렌치코트: (대한민국),여성경량패딩: (대한민국),롱패딩: (대한민국),핸드메이드코트: (대한민국),쥬시쥬디: (대한민국),블라우스: (대한민국),나이키바람막이: (대한민국),롱패딩: (대한민국),여성트레이닝세트: (대한민국),바람막이: (대한민국),후드집업: (대한민국),여자트렌치코트: (대한민국),롱패딩: (대한민국),롱원피스: (대한민국),써스데이아일랜드원피스: (대한민국),반바지: (대한민국),강블리gbl남여공용무지반팔7색: (대한민국),롱패딩: (대한민국),팬츠: (대한민국),가을원피스: (대한민국),나이키후드티: (대한민국),맨투맨: (대한민국),롱패딩: (대한민국),반팔티: (대한민국),아르마니익스체인지: (대한민국),루시앙: (대한민국),나이키맨투맨: (대한민국),롱패딩: (대한민국),하객원피스: (대한민국),리버클래시정장: (대한민국),dabagirl: (대한민국),후드티: (대한민국),롱패딩: (대한민국),나우포그니플리스: (대한민국),니트원피스: (대한민국),여성가디건: (대한민국),핸드메이드코트: (대한민국),롱패딩: (대한민국),후리스: (대한민국),패딩: (대한민국),여성경량패딩: (대한민국),남자경량패딩: (대한민국),롱패딩: (대한민국),노스페이스패딩: (대한민국),커플잠옷: (대한민국),수면잠옷: (대한민국),남자반팔티: (대한민국),롱패딩: (대한민국),여성린넨자켓: (대한민국),트위드자켓: (대한민국),메종키츠네반팔: (대한민국),여름원피스: (대한민국),롱패딩: (대한민국),라코스테원피스: (대한민국),여성점프수트: (대한민국),강블리gbl남여공용무지반팔7색: (대한민국),남자반바지: (대한민국)
2020-12-21,4,19,0,0,2,40,0,0,8,0,40,16,0,0,0,40,0,0,0,0,40,0,8,8,0,40,0,0,8,0,36,28,0,0,21,40,0,0,0,0,40,0,0,0,40,40,0,0,0,0,13,0,57,0,0,40,0,0,0,0,40,0,0,0,0,40,0,0,0,0
2020-12-22,4,24,1,0,3,48,0,0,8,0,48,24,0,0,0,48,0,0,0,0,48,0,16,0,0,48,0,0,24,0,43,21,0,0,7,48,0,0,0,0,48,0,0,0,0,48,0,0,0,0,16,13,57,0,0,48,8,0,0,0,48,0,0,0,0,48,0,0,0,0
2020-12-23,1,30,0,0,1,16,0,0,8,0,16,8,0,0,0,16,0,8,0,0,16,0,8,16,0,16,0,0,0,0,14,35,0,0,21,16,0,0,0,0,16,8,0,0,16,16,0,0,0,0,5,5,43,0,0,16,0,0,0,0,16,0,0,0,0,16,0,0,0,0
2020-12-24,2,40,0,0,1,25,0,0,8,0,25,34,0,0,0,25,0,0,8,0,25,0,0,8,0,25,0,0,0,0,23,30,0,0,23,25,0,0,0,8,25,0,0,0,8,25,0,0,0,0,8,3,39,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0
2020-12-25,2,66,1,0,3,20,0,0,0,0,20,30,0,0,0,20,0,0,10,0,20,0,10,10,0,20,0,0,10,0,18,18,0,0,9,20,0,0,0,0,20,0,0,0,30,20,0,0,0,0,6,10,29,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0
2020-12-26,1,70,0,0,3,9,0,0,0,0,9,9,0,0,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,8,50,0,0,42,9,0,0,0,0,9,9,0,0,28,9,0,0,9,0,3,0,49,0,0,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0
2020-12-27,2,100,0,0,3,25,0,0,0,0,25,8,0,0,0,25,0,0,17,0,25,0,8,8,0,25,0,0,17,0,22,22,0,0,15,25,0,0,0,8,25,0,0,0,25,25,0,0,0,0,8,3,35,0,0,25,0,0,8,0,25,0,0,0,0,25,0,0,0,0
2020-12-28,1,34,0,0,1,8,0,0,0,0,8,8,0,15,0,8,0,0,8,0,8,0,8,23,0,8,0,0,0,0,7,14,0,0,27,8,0,0,0,0,8,0,0,0,15,8,0,0,0,0,3,3,25,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0
2020-12-29,4,32,0,0,1,46,0,0,8,8,46,0,0,0,0,46,0,0,15,0,46,0,15,0,0,46,0,0,8,0,41,34,0,0,14,46,8,0,0,8,46,0,0,0,0,46,0,0,0,0,15,3,45,0,0,46,0,0,0,0,46,0,0,0,0,46,0,0,0,0
2020-12-30,1,25,0,0,1,16,0,0,8,0,16,24,0,0,0,16,0,0,32,0,16,0,24,16,0,16,0,0,8,0,14,14,0,0,36,16,0,0,0,8,16,0,0,0,24,16,0,0,0,0,5,3,47,0,0,16,8,8,0,0,16,0,0,0,0,16,0,0,0,0
